transaction_id,customer_id,amount
0,156,1433.1069134335846
1,31,401.70076927864534
2,944,376.9524451611603
3,762,521.4259718123474
4,475,1659.156997572186
5,674,460.7975160592715
6,824,1129.4136653041571
7,336,921.6303040344776
8,515,1025.8343660670055
9,458,478.28500157294775
10,611,333.1900459895504
11,264,631.6323830384939
12,192,263.30593482385444
13,904,508.12614440074356
14,889,476.7433818627597
15,127,506.4202121438041
16,491,404.13425999122313
17,745,415.74375075785906
18,386,430.6036343939667
19,924,308.3549272366708
20,156,1461.3780100843167
21,947,388.44040885125133
22,614,284.90136784436135
23,306,1461.0053920873468
24,487,466.87388823980274
25,369,1170.5907347752645
26,690,1185.5040766681957
27,93,510.56341625348483
28,166,817.4635194022835
29,207,277.5198122518848
30,473,167.85433102878665
31,918,330.2968215875608
32,487,528.8026164252564
33,303,210.54964968299888
34,287,1412.1666754635464
35,588,907.6522623988999
36,9,141.8896644974664
37,311,525.5106834155258
38,167,232.37879485051573
39,103,525.3334709490126
40,724,679.162152817489
41,505,403.2785074146992
42,363,336.0037923813648
43,566,250.0587235090549
44,892,1173.206026322241
45,761,150.17861574075258
46,805,1333.808580275747
47,581,1564.3126099248566
48,823,1181.2455758631993
49,184,438.11023011042795
50,205,491.8530618757241
51,407,484.5959594751655
52,45,443.79529205003746
53,388,1064.2418276734747
54,841,421.7069877534953
55,160,270.00796996473247
56,138,1520.2779970093573
57,65,617.2429633375737
58,645,238.79990639636375
59,950,1427.8553427435331
60,380,494.4705248054421
61,884,25.07762276266803
62,615,301.03468120253973
63,388,1051.9027210764589
64,370,221.1553467988429
65,439,1420.5613927042339
66,260,295.25532461978713
67,69,511.56292003613993
68,928,59.05935659233968
69,816,533.9493274663923
70,462,430.7695943871395
71,76,306.7329165757525
72,103,515.8625152958916
73,391,571.2989432169605
74,730,929.8481623924899
75,603,1234.008978377945
76,890,150.2209087889383
77,205,508.31794994360894
78,701,565.7810551291178
79,889,489.64130975067445
80,130,387.94984622563845
81,892,1108.9406860810052
82,468,360.11358464283575
83,651,767.5693979567307
84,225,1055.6677239845496
85,630,1333.7324044979446
86,557,1362.3082212100085
87,89,1514.7953397680715
88,366,506.50570702649856
89,788,558.0240982451405
90,831,730.3025758263518
91,916,1166.1096938507803
92,202,965.063701606994
93,591,970.6174550435629
94,744,265.61876063881533
95,516,614.8621144468038
96,583,455.2077877895255
97,578,1265.7923277306609
98,695,196.9309767619841
99,841,422.72860337265246
100,567,449.3836755928117
101,530,74.10955403151704
102,375,1397.045202953925
103,555,1555.4542659887654
104,78,245.116966761635
105,863,151.6589680983508
106,951,803.5566238913248
107,533,821.8419940345434
108,435,498.6137592758298
109,21,649.0269194366679
110,400,394.58165386151614
111,135,389.53319193159035
112,2,530.2731281711337
113,30,176.70602950302055
114,208,1080.6793171750073
115,392,879.0949059982523
116,858,532.3573862762771
117,497,895.7548734999393
118,878,154.23630103958905
119,449,1458.2730766309094
120,706,1114.7740009293898
121,510,193.0407383199323
122,141,1363.7940858124794
123,272,136.4980346015853
124,134,927.7344467822622
125,835,39.955533551093566
126,317,469.7384081807667
127,336,954.8264875052191
128,827,1021.9974940871241
129,582,582.2569139804606
130,381,399.96712902664166
131,763,431.59199774216376
132,757,518.0356817469616
133,79,442.0960994482689
134,32,347.6863346067771
135,238,921.2504437408315
136,245,62.32853224214617
137,628,617.7812654315966
138,365,530.4785755897092
139,227,219.6476316500193
140,11,157.97202361315448
141,193,951.1405007346448
142,931,256.2175934064319
143,744,273.93181843548535
144,531,490.8534147006771
145,584,369.3060122025702
146,800,1288.3390851424604
147,179,122.73039827354238
148,908,196.85679156878786
149,479,143.16854202420177
150,408,1013.5391167692019
151,340,1236.6251528829534
152,77,420.5662183269995
153,524,1132.5327132171003
154,655,441.8414250679568
155,952,833.4376851716632
156,136,526.1499729850402
157,54,253.62417135783804
158,734,899.5891936333704
159,68,565.1520265663534
160,477,112.48721829427504
161,258,1484.813208440511
162,310,551.9366199452295
163,192,271.1811832274735
164,617,1563.198161041775
165,446,425.12080342819354
166,505,358.93464931642757
167,400,365.9199784694643
168,950,1254.112099704212
169,219,1489.7747683097639
170,498,328.86052775276875
171,641,439.79506280144767
172,545,1306.7382749709218
173,204,589.1080366288173
174,951,867.0592906914945
175,885,589.0132932907179
176,525,262.7850139603763
177,781,471.5427814933511
178,641,391.7303156460334
179,805,1304.0955816664311
180,334,1311.9796316661684
