InvoiceDate,UnitPrice,CustomerID
12/1/2010 8:26,2.55,17850
12/1/2010 8:26,3.39,17850
12/1/2010 8:26,2.75,17850
12/1/2010 8:26,3.39,17850
12/1/2010 8:26,3.39,17850
12/1/2010 8:26,7.65,17850
12/1/2010 8:26,4.25,17850
12/1/2010 8:28,1.85,17850
12/1/2010 8:28,1.85,17850
12/1/2010 8:34,1.69,13047
12/1/2010 8:34,2.1,13047
12/1/2010 8:34,2.1,13047
12/1/2010 8:34,3.75,13047
12/1/2010 8:34,1.65,13047
12/1/2010 8:34,4.25,13047
12/1/2010 8:34,4.95,13047
12/1/2010 8:34,9.95,13047
12/1/2010 8:34,5.95,13047
12/1/2010 8:34,5.95,13047
12/1/2010 8:34,7.95,13047
12/1/2010 8:34,7.95,13047
12/1/2010 8:34,4.25,13047
12/1/2010 8:34,4.95,13047
12/1/2010 8:34,4.95,13047
12/1/2010 8:34,4.95,13047
12/1/2010 8:35,5.95,13047
12/1/2010 8:45,3.75,12583
12/1/2010 8:45,3.75,12583
12/1/2010 8:45,3.75,12583
12/1/2010 8:45,0.85,12583
12/1/2010 8:45,0.65,12583
12/1/2010 8:45,0.85,12583
12/1/2010 8:45,1.25,12583
12/1/2010 8:45,2.95,12583
12/1/2010 8:45,2.95,12583
12/1/2010 8:45,1.95,12583
12/1/2010 8:45,1.95,12583
12/1/2010 8:45,1.95,12583
12/1/2010 8:45,0.85,12583
12/1/2010 8:45,1.65,12583
12/1/2010 8:45,2.95,12583
12/1/2010 8:45,3.75,12583
12/1/2010 8:45,0.42,12583
12/1/2010 8:45,0.42,12583
12/1/2010 8:45,0.65,12583
12/1/2010 8:45,18,12583
12/1/2010 9:00,2.55,13748
12/1/2010 9:01,1.85,17850
12/1/2010 9:01,1.85,17850
12/1/2010 9:02,2.55,17850
12/1/2010 9:02,3.39,17850
12/1/2010 9:02,2.75,17850
12/1/2010 9:02,4.95,17850
12/1/2010 9:02,1.06,17850
12/1/2010 9:02,1.06,17850
12/1/2010 9:02,1.06,17850
12/1/2010 9:02,1.06,17850
12/1/2010 9:02,4.95,17850
12/1/2010 9:02,6.95,17850
12/1/2010 9:02,2.1,17850
12/1/2010 9:02,2.55,17850
12/1/2010 9:02,3.39,17850
12/1/2010 9:02,3.39,17850
12/1/2010 9:02,7.65,17850
12/1/2010 9:02,4.25,17850
12/1/2010 9:09,10.95,15100
12/1/2010 9:32,2.55,17850
12/1/2010 9:32,3.39,17850
12/1/2010 9:32,2.75,17850
12/1/2010 9:32,4.95,17850
12/1/2010 9:32,1.06,17850
12/1/2010 9:32,1.06,17850
12/1/2010 9:32,1.06,17850
12/1/2010 9:32,1.06,17850
12/1/2010 9:32,4.95,17850
12/1/2010 9:32,6.95,17850
12/1/2010 9:32,2.1,17850
12/1/2010 9:32,2.55,17850
12/1/2010 9:32,3.39,17850
12/1/2010 9:32,3.39,17850
12/1/2010 9:32,7.65,17850
12/1/2010 9:32,4.25,17850
12/1/2010 9:32,3.45,15291
12/1/2010 9:32,2.55,15291
12/1/2010 9:34,1.85,17850
12/1/2010 9:34,1.85,17850
12/1/2010 9:37,1.95,14688
12/1/2010 9:37,1.95,14688
12/1/2010 9:37,2.95,14688
12/1/2010 9:37,0.85,14688
12/1/2010 9:37,3.75,14688
12/1/2010 9:37,3.75,14688
12/1/2010 9:37,0.85,14688
12/1/2010 9:37,1.65,14688
12/1/2010 9:37,2.55,14688
12/1/2010 9:37,2.55,14688
12/1/2010 9:37,0.42,14688
12/1/2010 9:37,0.55,14688
12/1/2010 9:37,0.55,14688
12/1/2010 9:37,0.55,14688
12/1/2010 9:37,2.95,14688
12/1/2010 9:37,1.25,14688
12/1/2010 9:37,0.38,14688
12/1/2010 9:37,1.95,14688
12/1/2010 9:37,1.95,14688
12/1/2010 9:41,1.45,17809
12/1/2010 9:41,4.25,15311
12/1/2010 9:41,4.95,15311
12/1/2010 9:41,1.95,15311
12/1/2010 9:41,2.1,15311
12/1/2010 9:41,1.25,15311
12/1/2010 9:41,1.25,15311
12/1/2010 9:41,1.25,15311
12/1/2010 9:41,1.25,15311
12/1/2010 9:41,0.85,15311
12/1/2010 9:41,2.55,15311
12/1/2010 9:41,1.65,15311
12/1/2010 9:41,1.69,15311
12/1/2010 9:41,1.95,15311
12/1/2010 9:41,2.1,15311
12/1/2010 9:41,2.95,15311
12/1/2010 9:41,2.95,15311
12/1/2010 9:41,2.95,15311
12/1/2010 9:41,2.95,15311
12/1/2010 9:41,0.85,15311
12/1/2010 9:41,1.25,15311
12/1/2010 9:41,2.55,15311
12/1/2010 9:41,0.85,15311
12/1/2010 9:41,0.85,15311
12/1/2010 9:41,1.45,15311
12/1/2010 9:41,4.95,15311
