t,x
1970-01-01,1.6093861664161957
1970-01-02,0.5620759109493543
1970-01-03,-0.39831244008007793
1970-01-04,0.8943692734075555
1970-01-05,2.455957551296992
1970-01-06,2.6181312034774415
1970-01-07,3.989576780515706
1970-01-08,1.9009468457162964
1970-01-09,1.948002032594779
1970-01-10,3.979062815627565
1970-01-11,4.513261927517812
1970-01-12,5.430745396728318
1970-01-13,4.270607129009685
1970-01-14,5.669264015041345
1970-01-15,7.865252247199284
1970-01-16,5.952350569718371
1970-01-17,8.155329269525515
1970-01-18,6.410358581372501
1970-01-19,8.846333289446207
1970-01-20,7.278321087983727
1970-01-21,7.648631836945552
1970-01-22,7.711752103702279
1970-01-23,10.530833353291149
1970-01-24,8.933645023088483
1970-01-25,9.542095432064137
1970-01-26,9.865458736501349
1970-01-27,10.045115713360623
1970-01-28,9.936343383525898
1970-01-29,9.741164463290298
1970-01-30,10.952380698149538
1970-01-31,10.065574133307116
1970-02-01,9.39051151078513
1970-02-02,10.233842830274693
1970-02-03,10.135991188203768
1970-02-04,8.287219489553063
1970-02-05,10.604598979357604
1970-02-06,11.67179469208609
1970-02-07,9.648864357728822
1970-02-08,9.080570171296609
1970-02-09,9.225707632183093
1970-02-10,9.902059972838604
1970-02-11,8.61061161916102
1970-02-12,8.718031642881138
1970-02-13,7.354860343230177
1970-02-14,8.540094408748432
1970-02-15,9.160512857536537
1970-02-16,6.6073824236154035
1970-02-17,6.414824198662783
1970-02-18,7.783922568412566
1970-02-19,5.866400781189424
1970-02-20,5.294275708121905
1970-02-21,3.907324449620944
1970-02-22,5.378943511192247
1970-02-23,5.311432873662503
1970-02-24,4.23223953587689
1970-02-25,3.9643749397358277
1970-02-26,4.470234977163244
1970-02-27,1.9723364463961817
1970-02-28,2.2263383335331817
1970-03-01,1.8186344432821597
1970-03-02,0.5293648064185998
1970-03-03,-0.2676511355227186
1970-03-04,0.7081181403337458
1970-03-05,-0.059544077997369965
1970-03-06,-0.8521206311912527
1970-03-07,-2.429612443935649
1970-03-08,-0.6316273241123889
1970-03-09,-1.5903929739360203
1970-03-10,-3.142079775089406
1970-03-11,-1.8729998967938386
1970-03-12,-4.167989635189851
1970-03-13,-4.1150365254966506
1970-03-14,-4.503083301991061
1970-03-15,-8.732742656431517
1970-03-16,-4.464949291505859
1970-03-17,-8.09346172594653
1970-03-18,-6.077456201234692
1970-03-19,-6.506605835566939
1970-03-20,-7.030356289791181
1970-03-21,-7.358635423706797
1970-03-22,-6.752629232734714
1970-03-23,-6.671288339264869
1970-03-24,-5.850088951131391
1970-03-25,-9.106927005394988
1970-03-26,-9.912897887202245
1970-03-27,-8.756910726846701
1970-03-28,-9.415511245278225
1970-03-29,-8.936696197921371
1970-03-30,-9.787889313175851
1970-03-31,-11.918745108662428
1970-04-01,-9.981216436301963
1970-04-02,-8.116967603200743
1970-04-03,-12.139506275765287
1970-04-04,-9.706671139566572
1970-04-05,-8.80325924901749
1970-04-06,-10.264849055231378
1970-04-07,-8.432402654200441
1970-04-08,-9.787568420740438
1970-04-09,-10.505760500319777
1970-04-10,-10.095789035531782
1970-04-11,-7.587349559597573
1970-04-12,-10.488383713862559
1970-04-13,-8.657886005660467
1970-04-14,-8.477612445269358
1970-04-15,-8.250566659981773
1970-04-16,-8.747673499247693
1970-04-17,-8.983747131179252
1970-04-18,-8.480168558139331
1970-04-19,-8.709785013278092
1970-04-20,-6.017484683337797
1970-04-21,-6.786493901338386
1970-04-22,-6.7201823127705635
1970-04-23,-5.632208778612665
1970-04-24,-5.366989148741438
1970-04-25,-3.3709344423776697
1970-04-26,-3.6419216416292963
1970-04-27,-4.142760865680181
1970-04-28,-3.596255858086963
1970-04-29,-2.176899031549344
1970-04-30,-4.206119140313105
1970-05-01,-4.574422622764431
1970-05-02,-0.3522105117396168
1970-05-03,-2.9613691006225356
1970-05-04,-0.7345833003334049
1970-05-05,-0.6236210430766654
1970-05-06,0.5717085559253889
1970-05-07,1.23469005121042
1970-05-08,-0.30929717020191694
1970-05-09,2.0874317074092144
1970-05-10,1.903494021538381
1970-05-11,2.846122805924399
1970-05-12,2.344536987126415
1970-05-13,3.6787848786150144
1970-05-14,3.4543218489319445
1970-05-15,2.9824720682581662
1970-05-16,4.046593522276088
1970-05-17,3.9068420314345422
1970-05-18,7.629444797181998
1970-05-19,5.5468328755319245
1970-05-20,6.47005861609168
1970-05-21,6.6648198433913075
1970-05-22,6.229033349487311
1970-05-23,6.027721219857087
1970-05-24,8.046562422026462
1970-05-25,7.354701835595603
1970-05-26,8.088545450576724
1970-05-27,7.212828700004492
1970-05-28,9.979182869852922
1970-05-29,9.025933461797061
1970-05-30,10.070787924769636
1970-05-31,9.205635168266253
1970-06-01,9.450435833999249
1970-06-02,10.683570517588478
1970-06-03,9.191005219464765
1970-06-04,8.733930271758345
1970-06-05,10.201139196153683
1970-06-06,10.127984358908197
1970-06-07,10.341430635257137
1970-06-08,10.477121315089539
1970-06-09,10.143539309371471
1970-06-10,11.758186425510052
1970-06-11,9.71250954702478
1970-06-12,8.303460506117975
1970-06-13,8.803093303177171
1970-06-14,9.93781273376299
